Datetime,Close,log_return,log_return_lag_1,log_return_lag_2,log_return_lag_3,log_return_lag_4,log_return_lag_5,log_return_lag_6,log_return_lag_7,log_return_lag_8,log_return_lag_9,log_return_lag_10,roll_mean_3,roll_std_3,abs_roll_mean_3,roll_mean_7,roll_std_7,abs_roll_mean_7,roll_mean_14,roll_std_14,abs_roll_mean_14,momentum_3,momentum_7,momentum_14,abs_log_return,sq_log_return,fwd_return,target
2025-01-01 14:00:00,93978.0,0.001437539180904577,0.0023470933502130267,0.0036917982444655034,0.001845652511219251,-0.0012129345375435207,-0.0003432187516933103,-0.0023992385361628313,-0.0007165124332700394,-0.00024584863330441646,0.002246951512452866,-0.002930734138964819,0.002492143591861036,0.0011341078700296766,0.002492143591861036,0.0007666702087718138,0.0021541450723128967,0.001896782158886003,-0.0001768739474357826,0.0033326695099660866,0.002496284982336954,0.007504449066232155,0.005381117945974845,-0.0024731719225993265,0.001437539180904577,2.066518896635802e-06,0.002784007578696652,1
2025-01-01 15:00:00,94240.0,0.002784007578696652,0.001437539180904577,0.0023470933502130267,0.0036917982444655034,0.001845652511219251,-0.0012129345375435207,-0.0003432187516933103,-0.0023992385361628313,-0.0007165124332700394,-0.00024584863330441646,0.002246951512452866,0.0021895467032714186,0.0006869206621110561,0.0021895467032714186,0.0015071339394660255,0.0017344889777177446,0.001951749164962263,0.0006234686100458217,0.002421441729835349,0.002093657793240586,0.0065902609401535805,0.01060578438837112,0.008766765502403073,0.002784007578696652,7.750698198240395e-06,-0.0036036841185031433,0
2025-01-01 16:00:00,93901.0,-0.0036036841185031433,0.002784007578696652,0.001437539180904577,0.0023470933502130267,0.0036917982444655034,0.001845652511219251,-0.0012129345375435207,-0.0003432187516933103,-0.0023992385361628313,-0.0007165124332700394,-0.00024584863330441646,0.00020595421369936184,0.0033672321650286005,0.0026084102927014575,0.0010413531727789065,0.002556974324099343,0.0024175299316493816,3.2716712648955815e-05,0.0023673753662882676,0.0020177179127727407,0.0006180535575375234,0.007316105085872993,0.00045813889066459446,0.0036036841185031433,1.2986539225951777e-05,0.0004045996648039802,1
2025-01-01 17:00:00,93939.0,0.0004045996648039802,-0.0036036841185031433,0.002784007578696652,0.001437539180904577,0.0023470933502130267,0.0036917982444655034,0.001845652511219251,-0.0012129345375435207,-0.0003432187516933103,-0.0023992385361628313,-0.0007165124332700394,-0.00013835895833417042,0.0032282742068245767,0.0022640971206679254,0.001272429487399978,0.0023867193059153883,0.002302053521258019,0.00023610506380812685,0.002258128115624384,0.001872129513728424,-0.00041499074251416523,0.00894679182866831,0.003310939986542527,0.0004045996648039802,1.6370088875949313e-07,0.0021798895293949627,1
2025-01-01 18:00:00,94144.0,0.0021798895293949627,0.0004045996648039802,-0.0036036841185031433,0.002784007578696652,0.001437539180904577,0.0023470933502130267,0.0036917982444655034,0.001845652511219251,-0.0012129345375435207,-0.0003432187516933103,-0.0023992385361628313,-0.0003397316414347335,0.0029627610189231625,0.0020627244375673623,0.0013201776328536513,0.0024033835235072443,0.0023498016667116923,0.0006011496115481112,0.0021153773228107333,0.0018184977559020058,-0.0010186757215620013,0.009284075559081506,0.008451609447806652,0.0021798895293949627,4.751918360365792e-06,0.0029167991065954697,1
2025-01-01 19:00:00,94419.0,0.0029167991065954697,0.0021798895293949627,0.0004045996648039802,-0.0036036841185031433,0.002784007578696652,0.001437539180904577,0.0023470933502130267,0.0036917982444655034,0.001845652511219251,-0.0012129345375435207,-0.0003432187516933103,0.0018337627669314707,0.0012913710971693825,0.0018337627669314709,0.0012094634703007892,0.002291154242983924,0.0022390875041588304,0.0006489958682725829,0.0021625162483896562,0.0018663440126264774,0.0055164481741407645,0.008502184292321413,0.00912734462673015,0.0029167991065954697,8.507717028236131e-06,0.0018834389958406021,1
2025-01-01 20:00:00,94597.0,0.0018834389958406021,0.0029167991065954697,0.0021798895293949627,0.0004045996648039802,-0.0036036841185031433,0.002784007578696652,0.001437539180904577,0.0023470933502130267,0.0036917982444655034,0.001845652511219251,-0.0012129345375435207,0.002326709210610345,0.0005320951923471599,0.002326709210610345,0.0011432271339618715,0.002259264522304244,0.0021728511678199124,0.0008010878417829414,0.0021696056078086214,0.0019833147528076334,0.007004545502932835,0.008034696247988693,0.011278356246392063,0.0018834389958406021,3.5473424510530554e-06,0.0016899567802041685,1
2025-01-01 21:00:00,94757.0,0.0016899567802041685,0.0018834389958406021,0.0029167991065954697,0.0021798895293949627,0.0004045996648039802,-0.0036036841185031433,0.002784007578696652,0.001437539180904577,0.0023470933502130267,0.0036917982444655034,0.001845652511219251,0.002163398294213413,0.0006595971725343776,0.002163398294213413,0.0011792867910046703,0.0022667468879247065,0.0022089108248627112,0.000972978499888242,0.002135177496363187,0.002052846491874357,0.006511301835486094,0.00828917406201457,0.013714897031291695,0.0016899567802041685,2.85595391895804e-06,-0.0015736807831385907,0
2025-01-01 22:00:00,94608.0,-0.0015736807831385907,0.0016899567802041685,0.0018834389958406021,0.0029167991065954697,0.0021798895293949627,0.0004045996648039802,-0.0036036841185031433,0.002784007578696652,0.001437539180904577,0.0023470933502130267,0.0036917982444655034,0.0006665716643020599,0.0019425259620246404,0.001715692186394454,0.0005567598821710642,0.002349459942049734,0.002036006996925845,0.0010319469108185449,0.0020443491002771442,0.001993878080944054,0.002001715756362543,0.003904923599320931,0.01455212276543949,0.0015736807831385907,2.476471207219688e-06,-0.0023280926513464684,0
2025-01-01 23:00:00,94388.0,-0.0023280926513464684,-0.0015736807831385907,0.0016899567802041685,0.0018834389958406021,0.0029167991065954697,0.0021798895293949627,0.0004045996648039802,-0.0036036841185031433,0.002784007578696652,0.001437539180904577,0.0023470933502130267,-0.0007372722180936303,0.002135618124655368,0.0018639100715630759,0.0007389872346220178,0.001995845865679744,0.0018537796444748917,0.0008901702037004621,0.0022092306099614186,0.0021356547880621367,-0.002209372390244879,0.005186313244800456,0.012540361943380596,0.0023280926513464684,5.420015393253429e-06,0.005409759188754605,1
